date,cmrs_score,risk_zone,erp_raw,cape_raw,buffett_raw,margin_debt_raw
2000-01-01,65.0,🟡 风控警戒区,-0.0337,30.4,0.84,0.04
2000-02-01,32.5,🔵 合理持股区,-0.0312,29.41,0.82,0.0387
2000-03-01,65.0,🟡 风控警戒区,-0.0312,31.8,0.9,0.0416
2000-04-01,43.8,🔵 合理持股区,-0.027,30.41,0.85,0.0397
2000-05-01,24.0,🟢 低风险买入区,-0.0303,29.36,0.83,0.0383
2000-06-01,45.0,🔵 合理持股区,-0.0273,29.68,0.85,0.0387
2000-07-01,15.0,🟢 低风险买入区,-0.0258,28.83,0.83,0.0377
2000-08-01,45.6,🔵 合理持股区,-0.0251,30.17,0.88,0.0394
2000-09-01,13.9,🟢 低风险买入区,-0.0225,28.19,0.84,0.0369
2000-10-01,8.5,🟢 低风险买入区,-0.0213,27.7,0.82,0.0363
2000-11-01,5.9,🟢 低风险买入区,-0.0175,25.2,0.76,0.0331
2000-12-01,7.1,🟢 低风险买入区,-0.0124,25.03,0.76,0.033
2001-01-01,17.7,🟢 低风险买入区,-0.0126,25.61,0.78,0.0339
2001-02-01,4.6,🟢 低风险买入区,-0.0076,23.03,0.71,0.0306
2001-03-01,4.3,🟢 低风险买入区,-0.0021,21.37,0.66,0.0286
2001-04-01,11.6,🟢 低风险买入区,-0.0075,22.8,0.71,0.0307
2001-05-01,18.5,🟢 低风险买入区,-0.0099,22.71,0.71,0.0308
2001-06-01,9.2,🟢 低风险买入区,-0.0072,21.95,0.69,0.03
2001-07-01,8.7,🟢 低风险买入区,-0.006,21.53,0.69,0.0296
2001-08-01,3.2,🟢 低风险买入区,0.0003,20.0,0.64,0.0276
2001-09-01,3.1,🟢 低风险买入区,0.0075,18.25,0.59,0.0253
2001-10-01,5.9,🟢 低风险买入区,0.0085,18.45,0.6,0.0258
2001-11-01,12.4,🟢 低风险买入区,0.0043,19.69,0.64,0.0277
2001-12-01,18.3,🟢 低风险买入区,-0.0001,19.69,0.65,0.028
